Country,Countryrank,Hospital,Score,City,Year
USA,66,St. Joseph Mercy Chelsea,69.3,Chelsea,2021
USA,67,University of Minnesota Medical Center,69.25,Minneapolis,2021
USA,68,University of Maryland Medical Center,69.25,Baltimore,2021
USA,69,Mayo Clinic - Health System In Eau Claire,69.24,Eau Claire,2021
USA,70,ChristianaCare,69.23,Newark,2021
USA,71,Tampa General Hospital,69.16,Tampa,2021
USA,72,Jefferson Health - Thomas Jefferson University Hospitals,69.16,Philadelphia,2021
USA,73,University of Kentucky - Albert B. Chandler Hospital,69.15,Lexington,2021
USA,74,Northwestern Medicine Central DuPage Hospital,69.15,Winfield,2021
USA,75,Ohio State University - Wexner Medical Center,69.15,Columbus,2021
USA,76,Christ Hospital,69.14,Cincinnati,2021
USA,77,Penn State Health - Milton S. Hershey Medical Center,69.13,Hershey,2021
USA,78,Sharp Memorial Hospital,69.12,San Diego,2021
USA,79,Indiana University Health - North Hospital,69.1,Carmel,2021
USA,80,Johns Hopkins Bayview Medical Center,69.1,Baltimore,2021
USA,81,Indiana University Health West Hospital,69.07,Avon,2021
USA,82,Sanford USD Medical Center,69.04,Sioux Falls,2021
USA,83,VCU Medical Center,69.03,Richmond,2021
USA,84,Inova Alexandria Hospital,69.01,Alexandria,2021
USA,85,Penn Medicine Chester County Hospital,69,West Chester,2021
USA,86,MUSC Health-University Medical Center,69,Charleston,2021
USA,87,Newton-Wellesley Hospital,68.97,Newton,2021
USA,88,MemorialCare Long Beach Medical Center,68.97,Long Beach,2021
USA,89,UnityPoint Health - Meriter,68.95,Madison,2021
USA,90,Froedtert Hospital and the Medical College of Wisconsin,68.94,Milwaukee,2021
USA,91,Mission Hospital,68.93,Mission Viejo,2021
USA,92,Reading Hospital,68.89,Reading,2021
USA,93,Emory Saint Joseph's Hospital,68.88,Atlanta,2021
USA,94,Umass Memorial Medical Center,68.87,Worcester,2021
USA,95,UNC REX Hospital,68.87,Raleigh,2021
USA,96,Dartmouth-Hitchcock Medical Center,68.8,Lebanon,2021
USA,97,Advocate Lutheran General Hospital,68.8,Park Ridge,2021
USA,98,El Camino Hospital,68.75,Mountain View,2021
USA,99,Hoag Memorial Hospital Presbyterian,68.73,Newport Beach,2021
USA,100,Baystate Medical Center,68.72,Springfield,2021
USA,101,Roper Hospital,68.62,Charleston,2021
USA,102,St. Luke's Hospital Bethlehem,68.55,Bethlehem,2021
USA,103,Intermountain Medical Center,68.51,Murray,2021
USA,104,Boone Hospital Center,68.51,Columbia,2021
USA,105,The Moses H. Cone Memorial Hospital,68.51,Greensboro,2021
USA,106,Kaiser Permanente Santa Clara Medical Center,68.49,Santa Clara,2021
USA,107,Maine Medical Center,68.41,Portland,2021
USA,108,Memorial Hermann - Memorial City Medical Center,68.35,Houston,2021
USA,109,Abbott Northwestern Hospital,68.33,Minneapolis,2021
USA,110,Henry Ford Hospital,68.25,Detroit,2021
USA,111,University of Iowa Hospitals and Clinics,68.24,Iowa City,2021
USA,112,Cleveland Clinic Akron General,68.23,Akron,2021
USA,113,University of North Carolina Hospitals,68.21,Chapel Hill,2021
USA,114,John Muir Health - Walnut Creek Medical Center,68.14,Walnut Creek,2021
USA,115,CarolinaEast Medical Center,67.91,New Bern,2021
USA,116,Lahey Hospital and Medical Center,67.84,Burlington,2021
USA,117,Baylor Scott & White Medical Center,67.8,Temple,2021
USA,118,Queen's Medical Center,67.79,Honolulu,2021
USA,119,Northwestern Medicine - Delnor Hospital,67.75,Geneva,2021
USA,120,Carolinas Medical Center,67.73,Charlotte,2021
USA,121,Anne Arundel Medical Center,67.7,Annapolis,2021
USA,122,Sarasota Memorial Hospital,67.63,Sarasota,2021
USA,123,ProMedica Toledo Hospital,67.6,Toledo,2021
USA,124,Regions Hospital,67.6,Saint Paul,2021
USA,125,Kaiser Permanente Woodland Hills Medical Center,67.59,Woodland Hills,2021
USA,126,Mills-Peninsula Medical Center,67.58,Burlingame,2021
USA,127,Providence Portland Medical Center,67.56,Portland,2021
USA,128,Silver Cross Hospital,67.53,New Lenox,2021
USA,129,"Beaumont Hospital, Royal Oak",67.51,Royal Oak,2021
USA,130,Fairview Southdale Hospital,67.47,Edina,2021
USA,131,Parker Adventist Hospital,67.43,Parker,2021
USA,132,Valley Hospital,67.42,Ridgewood,2021
USA,133,Swedish Medical Center,67.41,Seattle,2021
USA,134,University of Cincinnati Medical Center,67.37,Cincinnati,2021
USA,135,Bon Secours St. Francis Hospital,67.36,Charleston,2021
USA,136,Mission Hospital,67.3,Asheville,2021
USA,137,Cleveland Clinic - Hillcrest Hospital,67.28,Mayfield Heights,2021
USA,138,Palomar Medical Center,67.23,Escondido,2021
USA,139,St. Patrick Hospital,67.22,Missoula,2021
USA,140,UC Irvine Medical Center,67.2,Orange,2021
USA,141,Sharp Chula Vista Medical Center,67.19,Chula Vista,2021
USA,142,Doylestown Hospital,67.18,Doylestown,2021
USA,143,UnityPoint Health - St. Luke's Hospital,67.16,Cedar Rapids,2021
USA,144,Sparrow Hospital,67.15,Lansing,2021
USA,145,North Shore University Hospital,67.12,Manhasset,2021
USA,146,St. Francis Hospital & Medical Center,67.09,Hartford,2021
USA,147,St. Jude Medical Center,67.01,Fullerton,2021
USA,148,Santa Barbara Cottage Hospital,67.01,Santa Barbara,2021
USA,149,Lancaster General Hospital,67.01,Lancaster,2021
USA,150,Lankenau Medical Center,66.98,Wynnewood,2021
USA,151,Baylor Scott & White Medical Center,66.98,Plano,2021
USA,152,Sentara Williamsburg Regional Medical Center,66.94,Williamsburg,2021
USA,153,John Muir Medical Center - Concord Campus,66.93,Concord,2021
USA,154,"Beaumont Hospital, Grosse Pointe",66.92,Grosse Pointe,2021
USA,155,Holland Hospital,66.91,Holland,2021
USA,156,Strong Memorial Hospital - University of Rochester,66.85,Rochester,2021
USA,157,Providence Little Company of Mary Medical Center,66.78,Torrance,2021
USA,158,EvergreenHealth Medical Center,66.78,Kirkland,2021
USA,159,St. Joseph's Hospital - BayCare,66.72,Tampa,2021
USA,160,Northern Light Mercy Hospital,66.72,Portland,2021
USA,161,Saint Joseph Medical Center,66.71,Towson,2021
USA,162,Saratoga Hospital,66.7,Saratoga Springs,2021
USA,163,St. Vincent Healthcare,66.69,Billings,2021
USA,164,Overlook Medical Center,66.68,Summit,2021
USA,165,St. Lukes Hospital,66.67,Chesterfield,2021
USA,166,Saint Francis Hospital,66.59,Tulsa,2021
USA,167,Legacy Salmon Creek Medical Center,66.59,Vancouver,2021
USA,168,United Regional Health Care System,66.5,Wichita Falls,2021
USA,169,AMITA Health Adventist Medical Center,66.48,Hinsdale,2021
USA,170,Duke Regional Hospital,66.47,Durham,2021
USA,171,Adventhealth Orlando,66.46,Orlando,2021
USA,172,"Beaumont Hospital, Troy",66.43,Troy,2021
USA,173,Advocate Christ Medical Center,66.36,Oak Lawn,2021
USA,174,Kaiser Permanente San Diego Medical Center & Zion Medical Center,66.36,San Diego,2021
USA,175,UCHealth Poudre Valley Hospital,66.35,Fort Collins,2021
USA,176,St. Francis Downtown,66.33,Greenville,2021
USA,177,Edward Hospital,66.33,Naperville,2021
USA,178,Emory Johns Creek Hospital,66.22,Johns Creek,2021
USA,179,St. David's Medical Center,66.21,Austin,2021
USA,180,Sky Ridge Medical Center,66.19,Lone Tree,2021
USA,181,WVU Medicine,66.19,Morgantown,2021
USA,182,Mercy St. Anne Hospital,66.18,Toledo,2021
USA,183,MedStar Georgetown University Hospital,66.15,Washington,2021
USA,184,Sentara Norfolk General Hospital,66.1,Norfolk,2021
USA,185,Morton Plant Hospital,66.08,Clearwater,2021
USA,186,University of Texas Health Science Center at Tyler,66.07,Tyler,2021
USA,187,University of Missouri Health Care,65.99,Columbia,2021
USA,188,Kaiser Permanente Los Angeles Medical Center,65.98,Los Angeles,2021
USA,189,Baptist Hospital of Miami,65.92,Miami,2021
USA,190,Jewish Hospital - Mercy Health,65.92,Cincinnati,2021
USA,191,Utah Valley Hospital,65.87,Provo,2021
USA,192,Fairview Ridges Hospital,65.87,Burnsville,2021
USA,193,Henry Ford West Bloomfield Hospital,65.87,West Bloomfield,2021
USA,194,Griffin Hospital,65.82,Derby,2021
USA,195,Indiana University Health Medical Center,65.81,Indianapolis,2021
USA,196,Baylor Scott & White - Round Rock Medical Center,65.8,Round Rock,2021
USA,197,Southcoast Hospitals Group,65.79,Fall River,2021
USA,198,Inova Fair Oaks Hospital,65.77,Fairfax,2021
USA,199,Henrico Doctors' Hospital,65.77,Richmond,2021
USA,200,Huntington Memorial Hospital,65.69,Pasadena,2021
USA,201,Porter Adventist Hospital,65.69,Denver,2021
USA,202,SSM Health - St. Mary's Hospital,65.68,Jefferson City,2021
USA,203,Blanchard Valley Hospital,65.67,Findlay,2021
USA,204,Evanston Hospital,65.67,Evanston,2021
USA,205,Sentara Princess Anne Hospital,65.66,Virginia Beach,2021
USA,206,Harborview Medical Center,65.66,Seattle,2021
USA,207,Scripps Green Hospital,65.6,La Jolla,2021
USA,208,Texas Health Southwest - Harris Methodist Hospital,65.59,Fort Worth,2021
USA,209,Avera McKennan Hospital and University Health Center,65.58,Sioux Falls,2021
USA,210,Billings Clinic Hospital,65.57,Billings,2021
USA,211,Virginia Hospital Center,65.52,Arlington,2021
USA,212,Tulane Medical Center,65.52,New Orleans,2021
USA,213,Straub Clinic And Hospital,65.5,Honolulu,2021
USA,214,Fulton County Health Center,65.5,Wauseon,2021
USA,215,Community Hospital East,65.43,Indianapolis,2021
USA,216,Willis Knighton Medical Center,65.41,Shreveport,2021
USA,217,Wentworth-Douglass Hospital,65.34,Dover,2021
USA,218,Salem Hospital,65.33,Salem,2021
USA,219,Kaiser Permanente Moanalua (Hawaii) Medical Center,65.27,Honolulu,2021
USA,220,LDS Hospital,65.27,Salt Lake City,2021
USA,221,Aurora Baycare Medical Center,65.2,Green Bay,2021
USA,222,Memorial Hospital of South Bend,65.18,South Bend,2021
USA,223,Firsthealth Moore Regional Hospital,65.16,Pinehurst,2021
USA,224,Holy Cross Hospital,65.13,Fort Lauderdale,2021
USA,225,Baptist Medical Center - Beaches,65.07,Jacksonville Beach,2021
USA,226,The Medical Center of Aurora,65.06,Aurora,2021
USA,227,Bellin Memorial Hospital,64.98,Green Bay,2021
USA,228,Advocate Illinois Masonic Medical Center,64.97,Chicago,2021
USA,229,Community Memorial Hospital,64.93,Menomonee Falls,2021
USA,230,Southwest Health Center - Platteville,64.91,Platteville,2021
USA,231,SSM Health St. Mary's Hospital - Madison,64.91,Madison,2021
USA,232,Asante Rogue Regional Medical Center,64.89,Medford,2021
USA,233,Newark Beth Israel Medical Center,64.85,Newark,2021
USA,234,Banner University Medical Center Tucson,64.81,Tucson,2021
USA,235,Mayo Clinic Health System - Albert Lea And Austin,64.8,Albert Lea,2021
USA,236,Mclaren Northern Michigan,64.77,Petoskey,2021
USA,237,Northwestern Lake Forest Hospital,64.75,Lake Forest,2021
USA,238,Methodist Willowbrook Hospital,64.73,Houston,2021
USA,239,Southwest General - Middleburg Heights Medical Center,64.67,Middleburg Heights,2021
USA,240,Saint Thomas West Hospital,64.67,Nashville,2021
USA,241,St. Joseph Medical Center,64.66,Bloomington,2021
USA,242,California Pacific Medical Center,64.61,San Francisco,2021
USA,243,Mayo Clinic Healthcare System - Franciscan Medical Center,64.61,La Crosse,2021
USA,244,St. Johns Medical Center,64.59,Jackson,2021
USA,245,MedStar Good Samaritan Hospital,64.51,Baltimore,2021
USA,246,Wooster Community Hospital,64.49,Wooster,2021
USA,247,Logan Regional Hospital,64.47,Logan,2021
USA,248,Sharp Coronado Hospital,64.4,Coronado,2021
USA,249,Advocat Sherman Hospital,64.34,Elgin,2021
USA,250,St. Vincent Indianapolis Hospital,64.34,Indianapolis,2021
USA,251,Park Nicollet Methodist Hospital,64.33,Saint Louis Park,2021
USA,252,Dignity Health - Northridge Hospital Medical Center,64.21,Northridge,2021
USA,253,Main Line Hospital,64.19,Paoli,2021
USA,254,Aultman Hospital,64.11,Canton,2021
USA,255,Presence Saints Mary And Elizabeth Medical Center,64.09,Chicago,2021
USA,256,Mount Nittany Medical Center,64.04,State College,2021
USA,257,MedStar Union Memorial Hospital,63.97,Baltimore,2021
USA,258,St. Mary's Regional Medical Center,63.95,Enid,2021
USA,259,Cape Cod Hospital,63.9,Hyannis,2021
USA,260,Inova Loudoun Hospital,63.89,Leesburg,2021
USA,261,Health One - Rose Medical Center,63.87,Denver,2021
USA,262,Baptist Health Lexington,63.86,Lexington,2021
USA,263,Fayette Medical Center,63.86,Fayette,2021
USA,264,Inova Mount Vernon Hospital,63.79,Alexandria,2021
USA,265,Mary Greeley Medical Center,63.78,Ames,2021
USA,266,Seton Medical Center Hays,63.67,Kyle,2021
USA,267,Mercy Regional Medical Center,63.66,Ville Platte,2021
USA,268,Pali Momi Medical Center,63.64,Aiea,2021
USA,269,Ascension St. Vincent Carmel Hospital,63.64,Carmel,2021
USA,270,Gundersen Lutheran Medical Center,63.62,La Crosse,2021
USA,271,Community Hospital of the Monterey Peninsula,63.56,Monterey,2021
USA,272,Health One - The Medical Center of Aurora,63.51,Grafton,2021
USA,273,Cape Canaveral Hospital,63.49,Cocoa Beach,2021
USA,274,Union General Hospital,63.47,Blairsville,2021
USA,275,Elmhurst Memorial Hospital,63.46,Elmhurst,2021
USA,276,Barton Memorial Hospital,63.45,South Lake Tahoe,2021
USA,277,Mercy Iowa City,63.41,Iowa City,2021
USA,278,Confluence Health - Central Washington Hospital,63.41,Wenatchee,2021
USA,279,Main Line Hospital - Bryn Mawr Campus,63.4,Bryn Mawr,2021
USA,280,Northwestern Medicine Mchenry Hospital,63.4,Mchenry,2021
USA,281,Perham Health Clinic,63.34,Perham,2021
USA,282,Ochsner Lafayette General Medical Center,63.31,Lafayette,2021
USA,283,Aurora Sheboygan Memorial Medical Center,63.3,Sheboygan,2021
USA,284,Shannon Medical Center,63.29,San Angelo,2021
USA,285,St. George Regional Hospital River Road,63.26,St George,2021
USA,286,Dignity Health - Sequoia Hospital,63.25,Redwood City,2021
USA,287,Ochsner University Hospital & Clinics,63.23,Lafayette,2021
USA,288,Catholic Medical Center,63.21,Manchester,2021
USA,289,Johnston Health,63.16,Smithfield,2021
USA,290,Good Samaritan Medical Center,63.15,Lafayette,2021
USA,291,MercyOne Dubuque Medical Center,63.13,Dubuque,2021
USA,292,AdventHealth Shawnee Mission,63.07,Shawnee Mission,2021
USA,293,UCHealth - Medical Center of The Rockies,63.04,Loveland,2021
USA,294,Sentara - Martha Jefferson Hospital,63.02,Charlottesville,2021
USA,295,Clay County Hospital,62.93,Ashland,2021
USA,296,Sentara Leigh Hospital,62.9,Norfolk,2021
USA,297,Atrium Health Lincoln,62.85,Lincolnton,2021
USA,298,AMITA Health - Adventist Medical Center La Grange,62.82,La Grange,2021
USA,299,Stillwater Medical Center,62.82,Stillwater,2021
USA,300,St. Luke's Magic Valley Medical Center,62.76,Twin Falls,2021
USA,301,Baylor Scott & White - Waxahachie Medical Center,62.67,Waxahachie,2021
USA,302,Dignity Health - Mercy Gilbert Medical Center,62.63,Gilbert,2021
USA,303,Providence Medford Medical Center,62.6,Medford,2021
USA,304,Geisinger Medical Center,62.53,Danville,2021
USA,305,OhioHealth Riverside Methodist Hospital,62.49,Columbus,2021
USA,306,Brookings Hospital,62.45,Brookings,2021
USA,307,Kettering Health - Sycamore Medical Center,62.45,Miamisburg,2021
USA,308,Sidney & Lois Eskenazi Hospital,62.42,Indianapolis,2021
USA,309,Northside Hospital Forsyth,62.37,Cumming,2021
USA,310,Missouri Baptist Medical Center,62.37,Town And Country,2021
USA,311,SSM Health - St. Mary's Hospital,62.28,Centralia,2021
USA,312,Fairview Park Hospital,62.28,Dublin,2021
USA,313,Community Hospital South,62.27,Indianapolis,2021
USA,314,Lutheran Health Network - Lutheran Hospital,62.22,Cleveland,2021
USA,315,Kadlec Regional Medical Center,62.12,Richland,2021
USA,316,Catawba Valley Medical Center,62.11,Hickory,2021
USA,317,Memorial Hospital And Health Care Center,62.05,Jasper,2021
USA,318,Williamson Medical Center,61.99,Franklin,2021
USA,319,St. David's - North Austin Medical Center,61.93,Austin,2021
USA,320,Saint Luke's East Hospital,61.91,Lees Summit,2021
USA,321,Cleveland Clinic Avon Hospital,61.9,Avon,2021
USA,322,Firelands Regional Medical Center,61.9,Sandusky,2021
USA,323,Christus Mother Frances - Hospital Tyler,61.89,Tyler,2021
USA,324,Lifespan - Newport Hospital,61.86,Newport,2021
USA,325,Thibodaux Regional Medical Center,61.79,Thibodaux,2021
USA,326,BayCare - Mease Dunedin Hospital,61.69,Dunedin,2021
USA,327,Jupiter Medical Center,61.64,Jupiter,2021
USA,328,ProHealth - Waukesha Memorial Hospital,61.51,Waukesha,2021
USA,329,Kalispell Regional Medical Center,61.48,Kalispell,2021
USA,330,St. Clair Hospital,61.46,Pittsburgh,2021
USA,331,East Alabama Medical Center,61.44,Opelika,2021
USA,332,HSHS - St. Josephs Hospital,61.42,Chippewa Falls,2021
USA,333,Wellstar Paulding Hospital,61.39,Hiram,2021
USA,334,St. Joseph Mercy Hospital,61.33,Ann Arbor,2021
Austria,1,Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,91.27,Wien,2021
Austria,2,Landeskrankenhaus Universitätskliniken Innsbruck,87.49,Innsbruck,2021
Austria,3,Landeskrankenhaus - Universitätsklinikum Graz,81.11,Graz,2021
Austria,4,Landeskrankenhaus Salzburg - Universitätsklinikum der PMU,79.62,Salzburg,2021
Austria,5,Ordensklinikum Linz Elisabethinen,78.98,Linz,2021
Austria,6,Linz Kepler Universitätsklinikum,78.74,Linz,2021
Austria,7,Österreichische Gesundheitskasse - Mein Hanusch-Krankenhaus,77.83,Wien,2021
Austria,8,Krankenhaus der Barmherzigen Schwestern Wien,76.68,Wien,2021
Austria,9,Landesklinikum Wiener Neustadt,76.48,Wiener Neustadt,2021
Austria,10,Krankenhaus St. Vinzenz Zams,76.46,Zams,2021
Austria,11,Kardinal Schwarzenberg Klinikum,76.33,Schwarzach im Pongau,2021
Austria,12,St. Josef-Krankenhaus,76.1,Wien,2021
Austria,13,Klinikum Wels-Grieskirchen,76,Wels,2021
Austria,14,KRAGES - Landeskrankenhaus Oberpullendorf,75.95,Oberpullendorf,2021
Austria,15,Klinikum - Klagenfurt am Wörthersee,75.6,Klagenfurt am Wörthersee,2021
Austria,16,Ordensklinikum Linz Barmherzige Schwestern,75.37,Linz,2021
Austria,17,KRAGES - Landeskrankenhaus Güssing,75.12,Güssing,2021
Austria,18,Landesklinikum Klosterneuburg,74.87,Klosterneuburg,2021
Austria,19,Landesklinikum Neunkirchen,74.79,Neunkirchen,2021
Austria,20,Wiener Gesundheitsverbund Klinik Donaustadt,73.9,Wien,2021
Austria,21,Wiener Gesundheitsverbund - Klinik Landstraße,73.51,Wien,2021
Austria,22,Universitätsklinikum St. Pölten,73.48,St. Pölten,2021
Austria,23,Klinikum Rohrbach,73.44,Rohrbach in Oberösterreich,2021
Austria,24,Krankenhaus der Barmherzigen Brüder Eisenstadt,73.31,Eisenstadt,2021
Austria,25,Salzkammergut-Klinikum,73.24,Vöcklabruck,2021
Austria,26,Krankenhaus der Stadt Dornbirn,73.23,Dornbirn,2021
Austria,27,Wiener Privatklinik,73.21,Wien,2021
Austria,28,Bezirkskrankenhaus Schwaz,73.13,Schwaz,2021
Austria,29,Krankenhaus der Barmherzigen Brüder Linz,73.1,Linz,2021
Canada,1,Toronto General - University Health Network,92.6,Toronto,2021
Canada,2,Sunnybrook Health Sciences Centre,91.28,Toronto,2021
Canada,3,Mount Sinai Hospital,89.35,Toronto,2021
Canada,4,North York General Hospital,86.36,Toronto,2021
Canada,5,Jewish General Hospital,84.5,Montreal,2021
Canada,6,VCH - Vancouver General Hospital,81.07,Vancouver,2021
Canada,7,Rockyview General Hospital,80.87,Calgary,2021
Canada,8,Centre hospitalier de l'Université de Montréal,80.86,Montreal,2021
Canada,9,St. Michael’s Hospital,80.59,Toronto,2021
Canada,10,Toronto Western - University Health Network,80.47,Toronto,2021
Canada,11,Montreal General Hospital - McGill University Health Centre,80.16,Montreal,2021
Canada,12,Foothills Medical Centre,79.06,Calgary,2021
Canada,13,Queen Elizabeth II Health Sciences Centre,78.72,Halifax,2021
Canada,14,The Royal Victoria Hospital - McGill University Health Centre,78.58,Montreal,2021
Canada,15,Hamilton Health Sciences - McMaster University Medical Centre,75.69,Hamilton,2021
Canada,16,Queensway Carleton Hospital,74.62,Ottawa,2021
Canada,17,Royal Jubilee Hospital,74.5,Victoria,2021
Canada,18,Peter Lougheed Centre,74.25,Calgary,2021
Canada,19,Royal Columbian Hospital,74.23,New Westminster,2021
Canada,20,Lachine Hospital - McGill University Health Centre,74.21,Lachine,2021
Canada,21,The Ottawa Hospital,74.01,Ottawa,2021
Canada,22,VCH - UBC Hospital,73.83,Vancouver,2021
Canada,23,Humber River Hospital,73.82,Toronto,2021
Canada,24,University of Alberta Hospital,73.68,Edmonton,2021
Canada,25,Grace Hospital,73.19,Winnipeg,2021
Canada,26,Victoria General Hospital,73.17,Victoria,2021
Canada,27,Grey Nuns Community Hospital - Covenant Health,73.06,Edmonton,2021
Canada,28,St. Joseph’s Healthcare Hamilton,73,Hamilton,2021
Canada,29,Royal Alexandra Hospital,72.98,Edmonton,2021
Canada,30,Southlake Regional Health Centre,72.94,Newmarket,2021
Canada,31,Kelowna General Hospital,72.72,Kelowna,2021
Canada,32,St. Paul’s Hospital,72.56,Saskatoon,2021
Canada,33,The Credit Valley Hospital,72.44,Mississauga,2021
Canada,34,William Osler Health System - Etobicoke General Hospital,72.09,Toronto,2021
Canada,35,St. Boniface Hospital,72.01,Winnipeg,2021
Canada,36,Kingston General Hospital,71.82,Kingston,2021
Canada,37,CHUL - CHU de Québec-Université Laval,71.69,Quebec City,2021
Canada,38,Bluewater Health,71.69,Sarnia,2021
Canada,39,Saskatoon City Hospital,71.63,Saskatoon,2021
Canada,40,Misericordia Community Hospital - Covenant Health,71.62,Edmonton,2021
Canada,41,Juravinski Hospital,71.46,Hamilton,2021
Canada,42,Halton Healthcare - Oakville Trafalgar Memorial Hospital,71.32,Oakville,2021
Canada,43,Toronto East Health Network - Michael Garron Hospital,71.31,Toronto,2021
Canada,44,Mackenzie Richmond Hill Hospital,71,Richmond Hill,2021
Canada,45,Seven Oaks General Hospital,70.95,Winnipeg,2021
Canada,46,Dr. Georges-L.-Dumont University Hospital Centre,70.86,Moncton,2021
Canada,47,St. Mary’s Hospital Centre,70.83,Montreal,2021
Canada,48,VCH - Richmond Hospital,70.55,Richmond,2021
Canada,49,Victoria General Hospital,70.53,Winnipeg,2021
Canada,50,St. Joseph’s Health Centre,70.48,Toronto,2021
Canada,51,Victoria Hospital - London Health Sciences Centre,70.37,London,2021
Canada,52,Royal University Hospital,70.06,Saskatoon,2021
Canada,53,Hamilton Health Sciences - Hamilton General Hospital,70.04,Hamilton,2021
Canada,54,Joseph Brant Hospital,69.96,Burlington,2021
Canada,55,Hopital Maisonneuve-Rosemont,69.91,Montreal,2021
Canada,56,Markham Stouffville Hospital – Markham Site,69.5,Markham,2021
Canada,57,Nova Scotia Health - Valley Regional Hospital,69.49,Kentville,2021
Canada,58,Trillium Health Partner - Mississauga Hospital,69.43,Mississauga,2021
Canada,59,Horizon Health Network - Saint John Regional Hospital,69.25,Saint John,2021
Canada,60,VCH - Lions Gate Hospital,69.24,North Vancouver,2021
Canada,61,Hôpital Montfort,69.22,Ottawa,2021
Canada,62,Hôpital du Sacré-Coeur de Montréal,69.17,Montreal,2021
Canada,63,William Osler Health System - Brampton Civic Hospital,69.06,Brampton,2021
